Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0003	s_0035 + s_1198  <=> s_0020 + s_0794 + s_1203 	ODQ72871.1	-1000.00	1000.00	  0.00
r_0005	s_1543  -> s_0001 + s_0794 + s_1538 	ODQ71533.1	  0.00	1000.00	  0.00
r_0006	s_1543  -> s_0004 + s_0794 + s_1538 	ODQ76405.1 or ODQ76405.1	  0.00	1000.00	  0.00
r_0007	s_0077  -> s_0312 	ODQ74157.1	  0.00	1000.00	  0.00
r_0012	s_0119 + 2 s_0807 + s_1200  <=> s_0799 + s_0993 + s_1205 	ODQ71890.1	-1000.00	1000.00	  0.00
r_0013	s_0311 + 3 s_0803  -> s_0294 + s_0722 + 6 s_0794 + s_1322 	ODQ76649.1	  0.00	1000.00	  0.00
r_0014	s_0142 + s_0794 + s_0803  -> s_0313 + s_0419 	ODQ72179.1	  0.00	1000.00	  0.00
r_0016	s_0179 + s_0799 + s_1401  -> s_0039 + s_0460 	( ODQ72120.1 and ODQ76162.1 ) or ODQ76162.1	  0.00	1000.00	  0.00
r_0017	s_0148 + s_0437  -> s_0006 + s_0424 + s_0799 	ODQ70574.1	  0.00	1000.00	  0.00
r_0018	s_0176 + s_0991  <=> s_0180 + s_0953 	ODQ72953.1	-1000.00	1000.00	  0.00
r_0020	s_0552 + s_0807 + s_1361  -> s_0350 + s_1326 	ODQ72126.1 or ODQ75752.1 or ODQ72126.1 or ODQ75752.1	  0.00	1000.00	  0.00
r_0023	s_0165 + s_0803  <=> s_0162 	ODQ71108.1	-1000.00	1000.00	  0.00
r_0024	s_0232 + s_0373 + s_0803  -> s_0162 + s_0529 + s_0794 	ODQ71171.1	  0.00	1000.00	  0.00
r_0025	s_0233 + s_0376 + s_0807  -> s_0164 + s_0532 + s_0799 	ODQ71171.1	  0.00	1000.00	  0.00
r_0026	s_0294 + s_0991  -> s_0180 + s_1029 	ODQ72828.1 or ODQ75243.1 or ODQ72828.1 or ODQ75243.1	  0.00	1000.00	  0.00
r_0027	s_0834  <=> s_0454 + s_0807 	ODQ72629.1	-1000.00	1000.00	  0.00
r_0028	s_0807 + s_1273 + s_1382  -> s_0174 + s_0532 + s_0799 	ODQ74140.1 or ODQ76391.1	  0.00	1000.00	  0.00
r_0029	s_0010 + s_0794  -> s_0291 + s_0456 	ODQ72828.1 or ODQ75243.1	  0.00	1000.00	  0.00
r_0030	s_0011 + s_0799  -> s_0292 + s_0460 	ODQ72828.1 or ODQ75243.1	  0.00	1000.00	  0.00
r_0032	s_0390 + s_0803  -> s_0423 + s_1322 	ODQ76681.1	  0.00	1000.00	  0.00
r_0038	s_0577  -> s_0158 + s_0722 + s_0794 	ODQ69054.1	  0.00	1000.00	  0.00
r_0039	s_0210  -> s_0211 + s_0803 	ODQ75844.1	  0.00	1000.00	  0.00
r_0040	s_0349  -> s_0210 + s_1322 	ODQ75844.1	  0.00	1000.00	  0.00
r_0042	s_0551 + s_0803 + s_1360  -> s_0349 + s_1322 	ODQ72126.1 or ODQ75752.1 or ODQ72126.1 or ODQ75752.1	  0.00	1000.00	  0.00
r_0043	s_0215 + 0.5 s_1275  -> s_0212 	ODQ72439.1	  0.00	1000.00	  0.00
r_0045	s_0222 + s_0803  -> s_0224 + s_0955 	ODQ75506.1	  0.00	1000.00	  0.00
r_0057	s_0054 + s_1202  -> s_0257 + s_0801 + s_1206 	ODQ69616.1 or ODQ72291.1 or ODQ74051.1	  0.00	1000.00	  0.00
r_0058	s_0224 + s_1275  -> s_0147 + s_0794 	ODQ69890.1	  0.00	1000.00	  0.00
r_0060	s_0009  <=> s_0165 + s_0803 	ODQ71108.1	-1000.00	1000.00	  0.00
r_0061	s_0009 + s_1198  -> s_0010 + s_0794 + s_1203 	ODQ68909.1 or ODQ74100.1	  0.00	1000.00	  0.00
r_0062	s_0232 + s_0794  -> s_0456 + s_0937 	ODQ73413.1	  0.00	1000.00	  0.00
r_0063	s_0233 + s_0307 + s_0807  -> s_0150 + s_1488 	ODQ73157.1	  0.00	1000.00	  0.00
r_0064	s_0056 + s_0794  -> s_0166 + s_0456 	ODQ73413.1	  0.00	1000.00	  0.00
r_0065	s_0261 + s_1360  -> s_0324 + s_1322 	ODQ75844.1	  0.00	1000.00	  0.00
r_0066	s_0515 + s_0999  -> s_0269 + s_0991 	ODQ76654.1	  0.00	1000.00	  0.00
r_0068	s_0180 + s_0734  -> s_0991 + s_1461 	ODQ74274.1	  0.00	1000.00	  0.00
r_0069	s_0264 + s_0803  -> s_0285 + s_1322 	ODQ70948.1	  0.00	1000.00	  0.00
r_0072	s_0291 + s_0794  -> s_0234 + s_0456 	ODQ73413.1	  0.00	1000.00	  0.00
r_0073	s_0279 + s_0803  <=> 2 s_0794 + s_1158 + s_1322 	ODQ70122.1	-1000.00	1000.00	  0.00
r_0075	s_0303 + s_1322  -> s_0383 + s_1422 	ODQ72599.1	  0.00	1000.00	  0.00
r_0076	s_0526 + s_0803  -> s_0543 + s_1322 	ODQ69049.1	  0.00	1000.00	  0.00
r_0078	s_0803 + s_1545  -> s_1322 + s_1556 	ODQ69049.1	  0.00	1000.00	  0.00
r_0079	s_0301 + s_0434 + s_0803 + s_0999  -> s_0302 + s_0394 + s_0794 + s_0991 + s_1322 	ODQ72548.1	  0.00	1000.00	  0.00
r_0080	s_0306 + 2 s_0794 + s_1212  -> s_0322 + s_1207 	ODQ76672.1 or ODQ76750.1 or ODQ76672.1 or ODQ76750.1	  0.00	1000.00	  0.00
r_0081	s_0799 + s_1005 + s_1464  -> s_0317 + s_0460 + s_0532 	ODQ75480.1	  0.00	1000.00	  0.00
r_0085	s_0323 + s_1012  -> s_1029 + s_1486 	ODQ72541.1	  0.00	1000.00	  0.00
r_0086	s_1423  -> s_0311 + s_0803 	ODQ75527.1	  0.00	1000.00	  0.00
r_0087	s_1422  <=> s_1423 	ODQ69699.1	-1000.00	1000.00	  0.00
