#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","KV454302.1",573404,575010,"+",,,"LIPSTDRAFT_75575","ODQ69929.1",437,"hypothetical protein LIPSTDRAFT_75575"
"Un","KV454302.1",575792,577805,"+",,,"LIPSTDRAFT_58405","ODQ69930.1",635,"hypothetical protein LIPSTDRAFT_58405"
"Un","KV454302.1",578124,579161,"-",,,"LIPSTDRAFT_75577","ODQ69931.1",345,"hypothetical protein LIPSTDRAFT_75577"
"Un","KV454302.1",579961,580803,"+",,,"LIPSTDRAFT_75578","ODQ69932.1",280,"hypothetical protein LIPSTDRAFT_75578"
"Un","KV454302.1",582419,584391,"+",,,"LIPSTDRAFT_75580","ODQ69933.1",637,"hypothetical protein LIPSTDRAFT_75580"
"Un","KV454302.1",585552,586546,"+",,,"LIPSTDRAFT_75581","ODQ69934.1",181,"hypothetical protein LIPSTDRAFT_75581"
"Un","KV454302.1",587494,588114,"+",,,"LIPSTDRAFT_186232","ODQ69935.1",206,"hypothetical protein LIPSTDRAFT_186232"
"Un","KV454302.1",589605,591324,"-",,,"LIPSTDRAFT_6597","ODQ69936.1",556,"hypothetical protein LIPSTDRAFT_6597"
"Un","KV454302.1",592726,594992,"-",,,"LIPSTDRAFT_6598","ODQ69937.1",712,"hypothetical protein LIPSTDRAFT_6598"
"Un","KV454302.1",598055,601520,"-",,,"LIPSTDRAFT_107648","ODQ69938.1",940,"hypothetical protein LIPSTDRAFT_107648"
"Un","KV454302.1",602184,603164,"+",,,"LIPSTDRAFT_75588","ODQ69939.1",306,"hypothetical protein LIPSTDRAFT_75588"
"Un","KV454302.1",603539,604087,"-",,,"LIPSTDRAFT_75589","ODQ69940.1",182,"hypothetical protein LIPSTDRAFT_75589"
"Un","KV454302.1",605707,606252,"-",,,"LIPSTDRAFT_75591","ODQ69941.1",181,"hypothetical protein LIPSTDRAFT_75591"
"Un","KV454302.1",607640,607851,"-",,,"LIPSTDRAFT_75592","ODQ69942.1",70,"hypothetical protein LIPSTDRAFT_75592, partial"
"Un","KV454302.1",608664,609468,"-",,,"LIPSTDRAFT_75595","ODQ69943.1",210,"hypothetical protein LIPSTDRAFT_75595"
"Un","KV454302.1",611100,612558,"+",,,"LIPSTDRAFT_37587","ODQ69944.1",466,"hypothetical protein LIPSTDRAFT_37587, partial"
"Un","KV454302.1",613101,613349,"+",,,"LIPSTDRAFT_75597","ODQ69945.1",82,"hypothetical protein LIPSTDRAFT_75597"
"Un","KV454302.1",614255,615388,"-",,,"LIPSTDRAFT_75598","ODQ69946.1",336,"hypothetical protein LIPSTDRAFT_75598"
"Un","KV454302.1",616491,617549,"-",,,"LIPSTDRAFT_58404","ODQ69947.1",352,"hypothetical protein LIPSTDRAFT_58404"
"Un","KV454302.1",620781,622616,"+",,,"LIPSTDRAFT_186603","ODQ69948.1",555,"hypothetical protein LIPSTDRAFT_186603"
"Un","KV454302.1",623160,624608,"-",,,"LIPSTDRAFT_75601","ODQ69949.1",482,"hypothetical protein LIPSTDRAFT_75601"
"Un","KV454302.1",626476,628320,"-",,,"LIPSTDRAFT_120442","ODQ69950.1",505,"hypothetical protein LIPSTDRAFT_120442"
"Un","KV454302.1",638252,639649,"-",,,"LIPSTDRAFT_58451","ODQ69951.1",447,"hypothetical protein LIPSTDRAFT_58451"
"Un","KV454302.1",641463,643344,"+",,,"LIPSTDRAFT_6611","ODQ69952.1",583,"hypothetical protein LIPSTDRAFT_6611"
"Un","KV454302.1",644191,644446,"-",,,"LIPSTDRAFT_75607","ODQ69953.1",85,"hypothetical protein LIPSTDRAFT_75607, partial"
"Un","KV454302.1",645703,646797,"-",,,"LIPSTDRAFT_30456","ODQ69954.1",311,"hypothetical protein LIPSTDRAFT_30456"
"Un","KV454302.1",648397,649437,"-",,,"LIPSTDRAFT_6613","ODQ69955.1",327,"hypothetical protein LIPSTDRAFT_6613"
"Un","KV454302.1",650374,651761,"-",,,"LIPSTDRAFT_66199","ODQ69956.1",430,"hypothetical protein LIPSTDRAFT_66199"
"Un","KV454302.1",652558,653753,"-",,,"LIPSTDRAFT_6615","ODQ69957.1",339,"hypothetical protein LIPSTDRAFT_6615"
"Un","KV454302.1",654841,656616,"+",,,"LIPSTDRAFT_6616","ODQ69958.1",555,"hypothetical protein LIPSTDRAFT_6616"
"Un","KV454302.1",657151,658802,"-",,,"LIPSTDRAFT_87872","ODQ69959.1",513,"hypothetical protein LIPSTDRAFT_87872"
"Un","KV454302.1",660230,660391,"-",,,"LIPSTDRAFT_186758","ODQ69960.1",53,"hypothetical protein LIPSTDRAFT_186758"
"Un","KV454302.1",660870,662571,"+",,,"LIPSTDRAFT_120451","ODQ69961.1",528,"hypothetical protein LIPSTDRAFT_120451"
"Un","KV454302.1",665620,666706,"-",,,"LIPSTDRAFT_6619","ODQ69962.1",306,"hypothetical protein LIPSTDRAFT_6619"
"Un","KV454302.1",666741,667100,"+",,,"LIPSTDRAFT_66204","ODQ69963.1",119,"hypothetical protein LIPSTDRAFT_66204"
"Un","KV454302.1",668606,668995,"+",,,"LIPSTDRAFT_6621","ODQ69964.1",129,"hypothetical protein LIPSTDRAFT_6621"
"Un","KV454302.1",669344,669964,"+",,,"LIPSTDRAFT_75616","ODQ69965.1",206,"hypothetical protein LIPSTDRAFT_75616"
"Un","KV454302.1",671740,673426,"-",,,"LIPSTDRAFT_6623","ODQ69966.1",277,"hypothetical protein LIPSTDRAFT_6623"
"Un","KV454302.1",675075,675695,"+",,,"LIPSTDRAFT_75619","ODQ69967.1",206,"hypothetical protein LIPSTDRAFT_75619"
"Un","KV454302.1",676960,679404,"-",,,"LIPSTDRAFT_58567","ODQ69968.1",814,"hypothetical protein LIPSTDRAFT_58567"
"Un","KV454302.1",685944,686327,"+",,,"LIPSTDRAFT_186898","ODQ69969.1",127,"hypothetical protein LIPSTDRAFT_186898"
